id,language,endpoint_bool,midfiller,endfiller,synthetic,dataset,wav_path
000081dd-b6dc-420c-be34-57bd8224c18f,eng,True,,,False,liva_1,data/raw/eng/000081dd-b6dc-420c-be34-57bd8224c18f.wav
00021667-9e19-4e6b-8f5c-af600d298b73,eng,False,,,False,midcentury_1,data/raw/eng/00021667-9e19-4e6b-8f5c-af600d298b73.wav
0002e1f1-d00e-4063-816a-c42932faccb2,hin,True,True,False,True,chirp3_1,data/raw/hin/0002e1f1-d00e-4063-816a-c42932faccb2.wav
0002ee44-0df6-4260-afde-5782d3d2b13c,eng,False,,,False,liva_1,data/raw/eng/0002ee44-0df6-4260-afde-5782d3d2b13c.wav
00043f22-043b-4c18-a5b0-40b85d771df1,eng,True,,,False,liva_1,data/raw/eng/00043f22-043b-4c18-a5b0-40b85d771df1.wav
00054cf4-e4a9-498a-8816-41dd0c69ca3b,eng,True,,,False,midcentury_1,data/raw/eng/00054cf4-e4a9-498a-8816-41dd0c69ca3b.wav
0005bf20-0d33-428e-bae0-f45b758ceefd,eng,False,,,False,liva_1,data/raw/eng/0005bf20-0d33-428e-bae0-f45b758ceefd.wav
0006b31b-e955-4346-bc62-1966fec6f549,eng,True,,,False,midcentury_1,data/raw/eng/0006b31b-e955-4346-bc62-1966fec6f549.wav
0006f11b-252e-44ed-857f-470e29cc475d,eng,False,,,True,rime_2,data/raw/eng/0006f11b-252e-44ed-857f-470e29cc475d.wav
0007cbe7-13a3-4db8-a402-83c177c774a0,eng,False,False,True,True,chirp3_1,data/raw/eng/0007cbe7-13a3-4db8-a402-83c177c774a0.wav
0007fc28-e75c-4203-bba3-fca70ed4bc7c,eng,True,,,False,liva_1,data/raw/eng/0007fc28-e75c-4203-bba3-fca70ed4bc7c.wav
0008b352-b34d-493c-ba3f-8cf615a6fbdb,hin,False,True,False,True,chirp3_1,data/raw/hin/0008b352-b34d-493c-ba3f-8cf615a6fbdb.wav
000a547c-8179-45bb-9227-9e6dc9ba09db,eng,False,,,True,rime_2,data/raw/eng/000a547c-8179-45bb-9227-9e6dc9ba09db.wav
000be3a6-6ab4-488d-b1a5-7d580cc1fa94,eng,False,,,False,midcentury_1,data/raw/eng/000be3a6-6ab4-488d-b1a5-7d580cc1fa94.wav
000c4ea0-95c1-4587-8313-a8b51050fb1e,hin,False,True,False,True,chirp3_1,data/raw/hin/000c4ea0-95c1-4587-8313-a8b51050fb1e.wav
000d5bdf-6d25-45a4-ad7a-42acea9f6816,eng,True,,,False,midcentury_1,data/raw/eng/000d5bdf-6d25-45a4-ad7a-42acea9f6816.wav
000dbf35-30cd-4737-b5c1-8efe885576c3,eng,True,False,False,True,chirp3_1,data/raw/eng/000dbf35-30cd-4737-b5c1-8efe885576c3.wav
000e4fe1-9677-4894-8ffa-e86b2aff28b1,hin,True,True,False,True,chirp3_1,data/raw/hin/000e4fe1-9677-4894-8ffa-e86b2aff28b1.wav
000ee09a-9de8-4c96-8005-81b2ff48498c,eng,False,,,False,liva_1,data/raw/eng/000ee09a-9de8-4c96-8005-81b2ff48498c.wav
